disease	mesh_id
double outlet right ventricle	D004310
doughnut lesions of skull, familial	C565089
dourine	D004313
dowling-degos disease	C562924
down syndrome	D004314
down syndrome critical region	C566023
doyne honeycomb retinal dystrophy	C535602
drachtman weinblatt sitarz syndrome	C535603
dracunculiasis	D004320
drowning	D004332
drug eruptions	D003875
drug hypersensitivity syndrome	D063926
drug metabolism, poor, cyp2c19-related	C563703
drug metabolism, poor, cyp2d6-related	C563835
drug overdose	D062787
drug-related side effects and adverse reactions	D064420
drug resistant epilepsy	D000069279
drusen, radial, autosomal dominant	C565088
dry eye syndromes	D015352
dry socket	D004368
duane retraction syndrome	D004370
dubowitz syndrome	C535718
ductus arteriosus, patent	D004374
duker weiss siber syndrome	C535719
dumping syndrome	D004377
duodenal diseases	D004378
duodenal neoplasms	D004379
duodenal obstruction	D004380
duodenal ulcer due to antral g-cell hyperfunction	C535721
duodenal ulcer, hyperpepsinogenemic i	C565086
duodenogastric reflux	D004383
duodenojejunal atresia with volvulus, absent dorsal mesentery and absent superior mesenteric artery	C535722
duplication 15q11-q13 syndrome	C557830
duplication 4p syndrome	C537643
dupuytren contracture	D004387
dupuytren contracture 1	C565083
dursun syndrome	C567804
dwarfism	D004392
dwarfism, familial, with muscle spasms	C563447
dwarfism, levi type	C565081
dwarfism, low-birth-weight type, with unresponsiveness to growth hormone	C565615
dwarfism, pituitary	D004393
dwarfism, proportionate, with hip dislocation	C565614
dwarfism stiff joint ocular abnormalities	C535724
dwarfism tall vertebrae	C535725
dyggve-melchior-clausen syndrome	C535726
dykes markes harper syndrome	C535727
dysalbuminemic hyperthyroxinemia	C566305
dysarthria	D004401
dysautonomia, familial	D004402
dysautonomia like disorder	C535728
dysbetalipoproteinemia due to defect in apolipoprotein e-d	C566261
dysbiosis	D064806
dyscalculia	D060705
dyschondrosteosis and nephritis	C565080
dyschromatosis symmetrica hereditaria 1	C535729
dyschromatosis universalis hereditaria	C535730
dyschromatosis universalis hereditaria 1	C567273
dyschromatosis universalis hereditaria 2	C567194
dyschromatosis universalis hereditaria 3	615402
dysentery	D004403
dysentery, amebic	D004404
dysentery, bacillary	D004405
dysequilibrium syndrome	C535731
dyserythropoiesis, congenital, with internuclear chromatin bridges and ultrastructurally normal erythroblast heterochromatin	C566368
dyserythropoietic anemia with thrombocytopenia	C564525
dysferlinopathy	C537995
dysfibrinogenemia causing recurrent thrombosis	C565018
dysfibrinogenemia, congenital	C562727
dysgammaglobulinemia	D004406
dysgerminoma	D004407
dysgeusia	D004408
dysgnathia complex	C537996
dyskeratosis congenita	D019871
dyskeratosis congenita, autosomal dominant	C565079
dyskeratosis congenita, autosomal dominant 2	613989
dyskeratosis congenita, autosomal dominant 3	613990
dyskeratosis congenita, autosomal dominant 6	616553
dyskeratosis congenita, autosomal recessive	C565611
dyskeratosis congenita, autosomal recessive 2	613987
dyskeratosis congenita, autosomal recessive 3	613988
dyskeratosis congenita, autosomal recessive 5	615190
dyskeratosis congenita, autosomal recessive 6	616353
dyskeratosis, hereditary benign intraepithelial	C562551
dyskinesia, drug-induced	D004409
dyskinesia, familial, with facial myokymia	C564676
dyskinesia, limb and orofacial, infantile-onset	616921
dyskinesias	D020820
dyslexia	D004410
dyslexia, acquired	D004411
dysmyelination with jaundice	C565610
dysosteosclerosis	C562973
dysostoses	D004413
dysphasia, familial developmental	C563997
dysphonia	D055154
dysplasia epiphysealis hemimelica	C537997
dysplasia epiphysealis hemimelica with chondromas and osteochondromas	C565076
dysplastic nevus syndrome	D004416
dyspnea	D004417
dyspnea, paroxysmal	D004418
dysprothrombinemia	C562724
dyssegmental dysplasia	C537998
dyssegmental dysplasia, rolland-desbuquois type	C537999
dyssegmental dysplasia with glaucoma	C563290
dyssomnias	D020920
dystelephalangy	C538000
dysthymic disorder	D019263
dystocia	D004420
dystonia	D004421
dystonia 12	C538001
dystonia 13, torsion	C564354
dystonia 15, myoclonic	C538002
dystonia 16	C567430
dystonia 17, torsion, autosomal recessive	C567319
dystonia 18	C564288
dystonia 3, torsion, x-linked	C564048
dystonia 6, torsion	C538003
dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities	617282
dystonia, dopa-responsive	C538007
dystonia, dopa-responsive, due to sepiapterin reductase deficiency	C562657
dystonia, focal, task-specific	C566973
dystonia musculorum deformans	D004422
dystonia musculorum deformans 4	C538004
dystonia musculorum deformans type 1	C538005
dystonia musculorum deformans type 2	C538006
dystonia-parkinsonism, adult-onset	C567844
dystonia with cerebellar atrophy	C567131
dystonia with ringbinden	C565608
dystonic disorders	D020821
dystransthyretinemic euthyroidal hyperthyroxinemia	C567719
eagle syndrome	C538010
eales disease	C538011
earache	D004433
ear deformities, acquired	D004426
ear diseases	D004427
early-onset ataxia with oculomotor apraxia and hypoalbuminemia	C538013
early-onset glaucoma	C580055
ear neoplasms	D004428
ebstein anomaly	D004437
ecchymosis	D004438
eccrine porocarcinoma	D057090
eccrine syringofibroadenomatosis with eyelid abnormalities	C566347
echinococcosis	D004443
echinococcosis, hepatic	D004444
echinococcosis, pulmonary	D004445
echinostomiasis	D004451
echogenic bowel	D058535
echolalia	D004454
echo virus 11 sensitivity	C565071
echovirus infections	D004457
ecthyma	D004473
ecthyma, contagious	D004474
ectodermal dysplasia	D004476
ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant	614940
ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type	617337
ectodermal dysplasia 13, hair/tooth type	617392
ectodermal dysplasia 1, anhidrotic	D053358
ectodermal dysplasia 3, anhidrotic	D053359
ectodermal dysplasia 4, hair/nail type	602032
ectodermal dysplasia 7, hair/nail type	614929
ectodermal dysplasia 9, hair/nail type	614931
ectodermal dysplasia adrenal cyst	C538015
ectodermal dysplasia alopecia preaxial polydactyly	C538016
ectodermal dysplasia and neurosensory deafness	C565606
ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema	C564538
ectodermal dysplasia, anhidrotic, with t-cell immunodeficiency, autosomal dominant	C567411
ectodermal dysplasia, ectrodactyly, and macular dystrophy	C536190
ectodermal dysplasia, hidrotic, autosomal recessive	C566553
ectodermal dysplasia, hidrotic, christianson-fourie type	C536180
ectodermal dysplasia, hypohidrotic, autosomal recessive	D053360
ectodermal dysplasia, hypohidrotic, with hypothyroidism and agenesis of the corpus callosum	C565605
ectodermal dysplasia, hypohidrotic, with hypothyroidism and ciliary dyskinesia	C565604
ectodermal dysplasia, hypohidrotic, with immune deficiency	C536181
ectodermal dysplasia mental retardation syndactyly	C538018
ectodermal dysplasia, pure hair-nail type	C566592
ectodermal dysplasia, sensorineural hearing loss, and distinctive facial features	C536182
ectodermal dysplasia/short stature syndrome	616029
ectodermal dysplasia-skin fragility syndrome	C536183
ectodermal dysplasia-syndactyly syndrome 1	613573
ectodermal dysplasia-syndactyly syndrome 2	613576
ectodermal dysplasia syndrome with distinctive facial appearance and preaxial polydactyly of feet	C565067
ectodermal dysplasia, trichoodontoonychial type	C565068
ectodermal dysplasia with natal teeth, turnpenny type	C563347
ectoparasitic infestations	D004478
ectopia cordis	D054083
ectopia lentis	D004479
ectopia lentis 1, isolated, autosomal dominant	129600
ectopia lentis 2, isolated, autosomal recessive	225100
ectopia lentis, isolated, autosomal recessive	C567124
ectopia lentis, spontaneous filtering blebs, and craniofacial dysmorphism	C563293
ectopia lentis with ectopia of pupil	C563268
ectopia pupillae	C536185
ectrodactyly	C574275
ectrodactyly and ectodermal dysplasia without cleft lip-palate	C565065
ectrodactyly cardiopathy dysmorphism	C536187
ectrodactyly-cleft lip-palate syndrome	C536189
ectrodactyly-cleft palate syndrome	C565064
ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1	C565062
ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3	C565799
ectrodactyly of lower limbs, congenital heart defect, and micrognathia	C563344
ectrodactyly-polydactyly	C565601
ectromelia	D004480
ectromelia, infectious	D004482
ectropion	D004483
eczema, dyshidrotic	D011146
edema, cardiac	D004489
edema disease of swine	D004488
edema, familial idiopathic, prepubertal	C565063
edict syndrome	614303
edinburgh malformation syndrome	C563051
eds viib	C565061
efavirenz, poor metabolism of	614546
egg hypersensitivity	D021181
ehlers-danlos syndrome	D004535
ehlers-danlos syndrome, autosomal dominant, type unspecified	C562424
ehlers-danlos syndrome, beasley cohen type	C536199
ehlers-danlos syndrome, cardiac valvular form	C536200
ehlers-danlos syndrome caused by tenascin-x deficiency	C536193
ehlers-danlos syndrome, kyphoscoliotic type, 2	614557
ehlers-danlos syndrome, musculocontractural type 1	C000600608
ehlers-danlos syndrome, musculocontractural type, 2	615539
ehlers-danlos syndrome, periodontal type, 2	617174
ehlers-danlos syndrome, progeroid form	C536201
ehlers-danlos syndrome type 1	C536194
ehlers-danlos syndrome type 2	C536195
ehlers-danlos syndrome type 3	C536196
ehlers-danlos syndrome type 5	C536197
ehlers-danlos syndrome type 6	C536198
ehlers-danlos syndrome, type vii, autosomal dominant	C562625
ehlers-danlos syndrome, type vii, autosomal recessive	C567527
ehlers-danlos syndrome, type viii	C562626
ehlers-danlos syndrome vi phenotype with macrocephaly	C565563
ehlers-danlos syndrome with platelet dysfunction from fibronectin abnormality	C565600
ehrlichiosis	D016873
eiken skeletal dysplasia	C564010
eisenmenger complex	D004541
elastosis perforans serpiginosa	C536202
elbow tendinopathy	D000070639
electric injuries	D004556
elejalde disease	C536203
elephantiasis	D004604
elephantiasis, filarial	D004605
elimination disorders	D019960
elliott ludman teebi syndrome	C536204
elliptocytosis 1	C567520
elliptocytosis 2	C565058
elliptocytosis 3	C566678
elliptocytosis 4	C566231
elliptocytosis, atypical	C565598
elliptocytosis, hereditary	D004612
ellis-van creveld syndrome	D004613
ellis yale winter syndrome	C536205
emaciation	D004614
emanuel syndrome	C535733
embolism	D004617
embolism, air	D004618
embolism, amniotic fluid	D004619
embolism and thrombosis	D016769
embolism, cholesterol	D017700
embolism, fat	D004620
embolism, paradoxical	D019320
embryo loss	D020964
emergence delirium	D000071257
emergencies	D004630
emergomycosis	C000656885
emery-dreifuss muscular dystrophy 4	C567831
emery-dreifuss muscular dystrophy 5	C567830
emery-dreifuss muscular dystrophy 6, x-linked	C567591
emery-dreifuss muscular dystrophy, atypical, autosomal recessive	C567633
emmonsiosis	C000656884
emphysema, congenital, with deafness, penoscrotal web, and mental retardation	C566519
emphysema, hereditary pulmonary	C565057
emphysematous cholecystitis	D041882
empty sella syndrome	D004652
empyema, pleural	D016724
empyema, subdural	D013354
empyema, tuberculous	D004654
enamel hypoplasia, cataracts, and aqueductal stenosis	C563430
encephalitis, arbovirus	D004671
encephalitis, california	D004670
encephalitis, herpes simplex	D020803
encephalitis, japanese	D004672
encephalitis, st. louis	D004674
encephalitis, tick-borne	D004675
encephalitis, varicella zoster	D020804
encephalitis, viral	D018792
encephalitozoonosis	D016890
encephalocardiomyopathy, mitochondrial, neonatal, due to atp synthase deficiency	C567528
encephalocele	D004677
encephaloclastic proliferative vasculopathy	C565593
encephalocraniocutaneous lipomatosis	C535736
encephalomalacia	D004678
encephalomalacia, multilocular	C565597
encephalomyelitis	D004679
encephalomyelitis, acute disseminated	D004673
encephalomyelitis, autoimmune, experimental	D004681
encephalomyelitis, eastern equine	D020242
encephalomyelitis, enzootic porcine	D004682
encephalomyelitis, equine	D004683
encephalomyelitis, venezuelan equine	D004685
encephalomyelitis, western equine	D020241
encephalopathy, acute, infection-induced, susceptibility to, 3	608033
encephalopathy, acute, infection-induced, susceptibility to, 4	614212
encephalopathy, axonal, with necrotizing myopathy, cardiomyopathy, and cataracts	C565596
encephalopathy, bovine spongiform	D016643
encephalopathy due to defective mitochondrial and peroxisomal fission 1	614388
encephalopathy due to defective mitochondrial and peroxisomal fission 2	617086
encephalopathy, neonatal severe, due to mecp2 mutations	C566878
encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum	617193
encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 1	617186
encephalopathy, progressive, with amyotrophy and optic atrophy	617207
encephalopathy, progressive, with or without lipodystrophy	615924
encephalopathy, spastic tetraparesis, and hypogonadism	C565722
encephalopathy with intracranial calcification, growth hormone deficiency, microcephaly, and retinal degeneration	C565594
enchondromatosis	D004687
encopresis	D004688
endarteritis	D004692
endemic treponematosis caused by treponema carateum	C531782
endocardial cushion defects	D004694
endocardial fibroelastosis	D004695
endocardial fibroelastosis and coarctation of abdominal aorta	C565592
endocarditis, bacterial	D004697
endocarditis, non-infective	D059905
endocarditis, subacute bacterial	D004698
endocrine-cerebroosteodysplasia	C567210
endocrine gland neoplasms	D004701
endocrine system diseases	D004700
endodermal sinus tumor	D018240
endoleak	D057867
endolymphatic hydrops	D018159
endometrial neoplasms	D016889
endometrial stromal tumors	D036821
endomyocardial fibrosis	D004719
endophthalmitis	D009877
endothelial dystrophy, congenital hereditary, with nail hypoplasia	C565591
endotoxemia	D019446
endotoxin hyporesponsiveness	C566417
endplate acetylcholinesterase deficiency	C566415
end stage liver disease	D058625
enhanced s-cone syndrome	C564835
enophthalmos	D015841
enoplida infections	D017189
entamoebiasis	D004749
enteritis	D004751
enteritis, transmissible, of turkeys	D004753
enterobacteriaceae infections	D004756
enterocolitis, necrotizing	D020345
enterocolitis, neutropenic	D044504
enterocolitis, pseudomembranous	D004761
enterokinase deficiency	C562649
enteropathy-associated t-cell lymphoma	D058527
enteropathy, familial, with villous edema and immunoglobulin g2 deficiency	C563949
enterotoxemia	D004767
enterovirus infections	D004769
enthesopathy	D000070676
entomophthoromycosis	C000656785
entropion	D004774
enuresis, nocturnal, 2	C563439
environmental illness	D018876
enzootic bovine leukosis	D016583
eosinophilia	D004802
eosinophilia, familial	C562722
eosinophilia-myalgia syndrome	D016603
eosinophilic enteropathy	C535952
eosinophilic esophagitis	D057765
eosinophilic fasciitis	C562487
eosinophilic granuloma	D004803
eosinophilic pustular folliculitis	C535953
eosinophilic synovitis	C535954
ependymoma	D004806
ephemeral fever	D004810
epiblepharon of upper lid	C565051
epidermal cyst	D004814
epidermal nevus	C580062
epidermitis, exudative, of swine	D004818
epidermodysplasia verruciformis	D004819
epidermodysplasia verruciformis, x-linked	C564430
epidermolysa bullosa simplex and limb girdle muscular dystrophy	C535955
epidermolysis bullosa	D004820
epidermolysis bullosa acquisita	D016107
epidermolysis bullosa dystrophica	D016108
epidermolysis bullosa dystrophica, autosomal recessive, localisata variant	C567121
epidermolysis bullosa dystrophica inversa, autosomal recessive	C567122
epidermolysis bullosa dystrophica neurotrophica	C562637
epidermolysis bullosa dystrophica, pasini type	C535956
epidermolysis bullosa dystrophica with subcorneal cleavage	C567272
epidermolysis bullosa inversa dystrophica	C535958
epidermolysis bullosa, junctional	D016109
epidermolysis bullosa, junctional, non-herlitz type	C562639
epidermolysis bullosa, late-onset localized junctional, with mental retardation	C535492
epidermolysis bullosa, lethal acantholytic	C535493
epidermolysis bullosa, pretibial	C535494
epidermolysis bullosa pruriginosa	C563192
epidermolysis bullosa simplex	D016110
epidermolysis bullosa simplex, autosomal recessive	C563408
epidermolysis bullosa simplex, generalized, with scarring and hair loss	617294
epidermolysis bullosa simplex, ogna type	C535962
epidermolysis bullosa simplex superficialis	C564368
epidermolysis bullosa simplex with migratory circinate erythema	C563730
epidermolysis bullosa simplex with mottled pigmentation	C535959
epidermolysis bullosa simplex with nail dystrophy	616487
epidermolysis bullosa simplex with pyloric atresia	C567408
epidermolysis bullosa with congenital localized absence of skin and deformity of nails	C562638
epidermolysis bullosa with deficiency of galactosylhydroxylysyl glucosyltransferase	C565049
epidermolysis bullosa with diaphragmatic hernia	C565588
epidermolysis bullosa with pyloric atresia	C535377
epidermolytic hyperkeratosis, late-onset	C566187
epididymitis	D004823
epidural abscess	D020802
epidural neoplasms	D015174
epiglottitis	D004826
epilepsia partialis continua	D017036
epilepsies, myoclonic	D004831
epilepsies, partial	D004828
epilepsy, absence	D004832
epilepsy, benign neonatal	D020936
epilepsy, benign neonatal, 1	C565164
epilepsy, benign neonatal, 1, and-or myokymia	C567743
epilepsy, benign neonatal, 1, atypical severe	C567745
epilepsy, benign neonatal, 3	C564274
epilepsy, benign neonatal, autosomal recessive	C564823
epilepsy, childhood absence, susceptibility to, 4	C567002
epilepsy, complex partial	D017029
epilepsy, familial adult myoclonic, 3	C567098
epilepsy, familial adult myoclonic, 5	615400
epilepsy, familial mesial temporal lobe	C566903
epilepsy, familial temporal lobe, 1	600512
epilepsy, familial temporal lobe, 2	608096
epilepsy, familial temporal lobe, 3	611630
epilepsy, familial temporal lobe, 4	C566902
epilepsy, familial temporal lobe, 5	614417
epilepsy, familial temporal lobe, 7	616436
epilepsy, familial temporal lobe, 8	616461
epilepsy, female-restricted, with mental retardation	C564715
epilepsy, focal, with speech disorder and with or without mental retardation	245570
epilepsy, frontal lobe	D017034
epilepsy, generalized	D004829
epilepsy, hearing loss, and mental retardation syndrome	616577
epilepsy, hot water, 1	613339
epilepsy, hot water, 2	613340
epilepsy, idiopathic generalized	C562694
epilepsy, intractable childhood, with generalized tonic-clonic seizures	C564607
epilepsy, myoclonic, benign adult familial, type 1	C563399
epilepsy, myoclonic, benign adult familial, type 2	C564313
epilepsy, nocturnal frontal lobe, 5	615005
epilepsy, nocturnal frontal lobe, type 1	C563930
epilepsy, nocturnal frontal lobe, type 2	C566400
epilepsy, nocturnal frontal lobe, type 3	C565334
epilepsy, nocturnal frontal lobe, type 4	C563679
epilepsy occipital calcifications	C535496
epilepsy, partial, motor	D020938
epilepsy, partial, sensory	D020937
epilepsy, partial, with pericentral spikes	C564605
epilepsy, partial, with variable foci	C565785
epilepsy, photogenic, with spastic diplegia and mental retardation	C565587
epilepsy, post-traumatic	D004834
epilepsy, progressive myoclonic 2b	C564976
epilepsy, progressive myoclonic 3	C567095
epilepsy, progressive myoclonic, 3, with or without intracellular inclusions	611726
epilepsy, progressive myoclonic, 4, with or without renal failure	254900
epilepsy, reflex	D020195
epilepsy, rolandic	D019305
epilepsy, rolandic with paroxysmal exercise-induced dystonia and writer's cramp	C535499
epilepsy telangiectasia	C535497
epilepsy, temporal lobe	D004833
epilepsy, tonic-clonic	D004830
epilepsy, x-linked, with variable learning disabilities and behavior disorders	C564505
epileptic encephalopathy, early infantile, 11	613721
epileptic encephalopathy, early infantile, 12	613722
epileptic encephalopathy, early infantile, 13	614558
epileptic encephalopathy, early infantile, 14	614959
epileptic encephalopathy, early infantile, 17	615473
epileptic encephalopathy, early infantile, 18	615476
epileptic encephalopathy, early infantile, 19	615744
epileptic encephalopathy, early infantile, 21	615833
epileptic encephalopathy, early infantile, 23	615859
epileptic encephalopathy, early infantile, 24	615871
epileptic encephalopathy, early infantile, 25, with amelogenesis imperfecta	615905
epileptic encephalopathy, early infantile, 26	616056
epileptic encephalopathy, early infantile, 27	616139
epileptic encephalopathy, early infantile, 28	616211
epileptic encephalopathy, early infantile, 29	616339
epileptic encephalopathy, early infantile, 3	C562695
epileptic encephalopathy, early infantile, 30	616341
epileptic encephalopathy, early infantile, 31	616346
epileptic encephalopathy, early infantile, 32	616366
epileptic encephalopathy, early infantile, 33	616409
epileptic encephalopathy, early infantile, 34	616645
epileptic encephalopathy, early infantile, 35	616647
epileptic encephalopathy, early infantile, 36	300884
epileptic encephalopathy, early infantile, 37	616981
epileptic encephalopathy, early infantile, 38	617020
epileptic encephalopathy, early infantile, 4	C567404
epileptic encephalopathy, early infantile, 40	617065
epileptic encephalopathy, early infantile, 41	617105
epileptic encephalopathy, early infantile, 42	617106
epileptic encephalopathy, early infantile, 43	617113
epileptic encephalopathy, early infantile, 44	617132
epileptic encephalopathy, early infantile, 45	617153
epileptic encephalopathy, early infantile, 46	617162
epileptic encephalopathy, early infantile, 47	617166
epileptic encephalopathy, early infantile, 48	617276
epileptic encephalopathy, early infantile, 49	617281
epileptic encephalopathy, early infantile, 5	613477
epileptic encephalopathy, early infantile, 50	616457
epileptic encephalopathy, early infantile, 51	617339
epileptic encephalopathy, early infantile, 52	617350
epileptic encephalopathy, early infantile, 53	617389
epileptic encephalopathy, early infantile, 54	617391
epileptic encephalopathy, early infantile, 7	613720
epileptic encephalopathy, lennox-gastaut type	C535500
epileptic syndromes	D000073376
epiphyseal chondrodysplasia, miura type	615923
epiphyseal dysplasia, baumann type	C563664
epiphyseal dysplasia, multiple, 1	C535501
epiphyseal dysplasia, multiple, 2	C535502
epiphyseal dysplasia, multiple, 3	C535503
epiphyseal dysplasia, multiple, 4	C535504
epiphyseal dysplasia, multiple, 5	C535505
epiphyseal dysplasia, multiple, 6	614135
epiphyseal dysplasia, multiple, with miniepiphyses	C563735
epiphyseal dysplasia, multiple, with myopathy	C563420
epiphyseal dysplasia, multiple, with myopia and conductive deafness	C565046
epiphyseal dysplasia, multiple, with severe proximal femoral dysplasia	C563736
epiphyseal dysplasia of femoral head, myopia, and deafness	C565585
epiphyses, slipped	D004839
epiretinal membrane	D019773
episodic ataxia	C580065
episodic ataxia, type 1	C563278
episodic ataxia, type 2	C535506
episodic ataxia, type 3	C564697
episodic ataxia, type 4	C564698
episodic ataxia, type 5	C566601
episodic ataxia, type 6	C567207
episodic ataxia, type 7	C567459
episodic kinesigenic dyskinesia 2	C567026
episodic muscle weakness, x-linked	C564565
episodic pain syndrome, familial, 1	615040
episodic pain syndrome, familial, 2	615551
episodic pain syndrome, familial, 3	615552
epispadias	D004842
epistaxis, hereditary	C562751
epithelial recurrent erosion dystrophy	C565155
epithelial squamous dysplasia, keratinizing desquamative, of urinary tract	C565584
epstein-barr virus infections	D020031
epstein-barr virus insertion site 1	132850
equine infectious anemia	D004859
equinus deformity	D004863
ergotism	D004881
ermine phenotype	C535508
erosive adenomatosis of the nipple	C000626393
eructation	D004884
erysipeloid	D004887
erysipelothrix infections	D004889
erythema chronicum migrans	D015787
erythema elevatum diutinum	C535509
erythema induratum	D004891
erythema infectiosum	D016731
erythema multiforme	D004892
erythema nodosum	D004893
erythema nodosum, familial	C535510
erythema nodosum, idiopathic	C535511
erythema palmare hereditarium	C565041
erythremia, alpha-globin type	C564195
erythremia, beta-globin type	C564193
erythroblastosis, fetal	D004899
erythrocyte amp deaminase deficiency	C567878
erythrocyte lactate transporter defect	C565449
erythrocytosis, familial, 2	C563918
erythrocytosis, familial, 3	C565221
erythrocytosis, familial, 4	C567086
erythrocytosis, familial, 8	222800
erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige	615508
erythroderma desquamativa of leiner	C535512
erythroderma, ichthyosiform, congenital reticular	609165
erythrokeratoderma, reticular	C563781
erythrokeratodermia variabilis	D056266
erythrokeratodermia variabilis 3	C563739
erythrokeratodermia variabilis, autosomal recessive	C566391
erythrokeratodermia with ataxia	C535738
erythroleukemia, familial	C565039
erythromelalgia	D004916
erythroplasia	D004919
erythroreticulosis, hereditary benign	C566285
escherichia coli infections	D004927
esophageal achalasia	D004931
esophageal and gastric varices	D004932
esophageal atresia	D004933
esophageal atresia with or without tracheoesophageal fistula	C531835
esophageal cyst	D004934
esophageal diseases	D004935
esophageal fistula	D004937
esophageal motility disorders	D015154
esophageal neoplasms	D004938
esophageal perforation	D004939
esophageal ring, lower	C562765
esophageal spasm, diffuse	D015155
esophageal squamous cell carcinoma	D000077277
esophageal stenosis	D004940
esophagitis	D004941
esophagitis, peptic	D004942
esotropia	D004948
essential hypertension	D000075222
esthesioneuroblastoma, olfactory	D018304
estren-dameshek variant of fanconi anemia	C565572
estren-dameshek variant of fanconi pancytopenia	C565573
ethanolaminosis	C562651
ethmoid sinusitis	D015521
ethylmalonic encephalopathy	C535737
euglenozoa infections	D056986
euhidrotic ectodermal dysplasia	C535763
eunuchism	D005058
eunuchoidism, familial hypogonadotropic	C535764
euthyroid goiter	C562732
euthyroid sick syndromes	D005067
evans syndrome	C536380
even-plus syndrome	616854
exanthema	D005076
exanthema subitum	D005077
exchondrosis of pinna, posterior	C565036
exfoliation syndrome	D017889
exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like	C564309
exhibitionism	D005084
exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis	C567195
exophthalmos	D005094
exostoses	D005096
exostoses, multiple hereditary	D005097
exostoses, multiple, type i	133700
exostoses, multiple, type ii	133701
exostoses, multiple, type iii	C563975
exostoses of heel	C563167
exostoses with anetodermia and brachydactyly, type e	C565034
exotropia	D005099
expansile bone lesions	C566375
exsanguination	D058734
exserohilum infection	C000656907
extensively drug-resistant tuberculosis	D054908
external auditory canal, bilateral atresia of, with congenital vertical talus	C566245
external ophthalmoplegia, synergistic divergence, jaw winking, and oculocutaneous hypopigmentation	C566509
extranodal extension	D000079822
extrasystoles, multiform ventricular, with short stature, hyperpigmentation and microcephaly	C565032
extravasation of diagnostic and therapeutic materials	D005119
exudative vitreoretinopathy 1	C536382
exudative vitreoretinopathy 2, x-linked	305390
exudative vitreoretinopathy 3	C565297
exudative vitreoretinopathy 4	C566619
exudative vitreoretinopathy 5	C567648
exudative vitreoretinopathy 6	616468
exudative vitreoretinopathy, familial, x-linked recessive	C564428
eye abnormalities	D005124
eyebrows duplication of, with stretchable skin and syndactyly	C536383
eye burns	D005126
eye diseases, hereditary	D015785
eye foreign bodies	D005129
eye hemorrhage	D005130
eye infections, bacterial	D015818
eye infections, fungal	D015821
eye infections, parasitic	D015822
eye infections, viral	D015828
eye injuries	D005131
eye injuries, penetrating	D015807
eyelid diseases	D005141
eyelid neoplasms	D005142
eye manifestations	D005132
eye neoplasms	D005134
eye pain	D058447
fabry disease, cardiac variant	C567062
faces syndrome	C536384
facial abnormalities, kyphoscoliosis, and mental retardation	C565580
facial asymmetry	D005146
facial dermatoses	D005148
facial dysmorphism, cleft palate, hearing loss, and camptodactyly	C566524
facial dysmorphism, immunodeficiency, livedo, and short stature	615139
facial dysmorphism, selective tooth agenesis, and choroid calcification	C567039
facial dysmorphism with multiple malformations	C565579
facial ectodermal dysplasia	C536385
facial hemiatrophy	D005150
facial hemihypertrophy	C563014
facial hypertrichosis	C565029
facial injuries	D005151
facial neoplasms	D005153
facial nerve diseases	D005155
facial nerve injuries	D020220
facial neuralgia	D005156
facial palsy, congenital, unilateral or bilateral	C563309
facial palsy, familial recurrent peripheral	C565028
facial paralysis	D005158
facial paresis, hereditary, congenital	C536386
facies	D019066
faciocardiomelic dysplasia, lethal	C565578
faciocardiomelic syndrome	C567176
faciocardiorenal syndrome	C536388
faciogenital dysplasia with attention deficit-hyperactivity disorder	C564427
faciomandibular myoclonus, nocturnal	C536389
facioscapulohumeral muscular dystrophy 1a	C536391
facioscapulohumeral muscular dystrophy 1b	C563557
facio thoraco genital syndrome	C536387
factitious disorders	D005162
factor 8 deficiency, acquired	C536392
factors viii, ix and xi, combined deficiency of	C565023
factor v and factor viii, combined deficiency of, 1	227300
factor v and factor viii, combined deficiency of, 2	613625
factor v deficiency	D005166
factor v excess with spontaneous thrombosis	C565026
factor vii deficiency	D005168
factor xi deficiency	D005173
factor xii deficiency	D005175
factor xiii, a subunit, deficiency of	C567691
factor xiii, b subunit, deficiency of	C567688
fahr's disease	C536275
failed back surgery syndrome	D055111
failure of tooth eruption, primary	C565114
failure to thrive	D005183
fairbank disease	C536393
fallopian tube diseases	D005184
fallopian tube neoplasms	D005185
fallot complex with severe mental and growth retardation	C536608
familial acanthosis nigricans	C531598
familial acute myeloid leukemia with mutated cebpa	C580075
familial anomalous origin of right pulmonary artery	C535681
familial antiphospholipid syndrome	C531622
familial apoceruloplasmin deficiency	C536004
familial benign hypercalcemia, type 3	C537147
familial burkitt's lymphoma	C538493
familial capillaro-venous leptomeningeal angiomatosis	C536609
familial cerebral cavernous malformation	C536610
familial cold autoinflammatory syndrome 2	C567090
familial cyclic vomiting syndrome	C536228
familial cylindromatosis	C536611
